Instruction,Input,Response
ロボットを説明してください,ASIMOは、本田技研工業が開発したアドバンスト・ステップ・イン・イノベイティブ・モビリティです。,ASIMOは、Hondaが設計したヒューマノイドロボットで、移動に制約のある人々を支援します。歩行、走行、階段の昇降が可能です。
ASIMOの能力は何ですか？,ASIMOは、音声コマンドを理解し、顔を認識し、障害物を避けることができます。,ASIMOは音声コマンドを理解し、顔を認識し、障害物を回避することができ、高度なインタラクティブ性と適応性を備えています。
Pepperの主な機能を説明してください。,Pepperは、ソフトバンクロボティクスが開発した社会的相互作用のためのロボットです。,Pepperは人間の感情を認識し、それに応じて反応する社会的ヒューマノイドロボットで、顧客サービスやケアの現場でよく使用されます。
Kiroboを説明してください。,Kiroboは、トヨタが開発した宇宙ミッションのための小型コミュニケーションロボットです。,Kiroboは宇宙飛行士と会話するために設計されており、長期間の宇宙ミッション中に仲間を提供します。自然言語を処理し、適切に応答することができます。
HRP-4Cの主な特徴は何ですか？,HRP-4Cは、AISTが開発した若い日本女性に似たロボットで、Miimとしても知られています。,HRP-4Cは歌唱、ダンス、人とのインタラクションが可能で、エンターテイメントや人間との交流における先進的なロボティクスを示しています。
Robiについての詳細を教えてください。,Robiは、高橋智隆が設計したDIYヒューマノイドロボットです。,Robiはキットから組み立てられ、音声を認識し、コマンドに応答し、さまざまなインタラクティブなアクションを実行することができ、教育用として人気があります。
PAROの機能をまとめてください。,PAROは、AISTが設計した赤ちゃんアザラシに似たセラピーロボットです。,PAROは特に高齢者に対してセラピーとして使用され、リアルな動きと応答を通じて快適さとインタラクションを提供します。
Aiboの進歩を説明してください。,Aiboは、ソニーが設計したコンパニオンロボット犬です。,Aiboは顔を認識し、インタラクションから学び、自分の個性を発展させる高度な人工知能を備えたインタラクティブなペットです。
DRC-HUBOの使用方法を説明してください。,DRC-HUBOは、KAISTが開発した災害対応ロボットです。,DRC-HUBOは歩行モードとローリングモードを切り替えることができ、災害地域での作業を支援するために設計された多用途なロボットです。
Robohonの能力は何ですか？,Robohonは、シャープが開発したスマートフォン統合型ロボットです。,Robohonは音声認識、ダンス、画像投影などの機能を備えたスマートフォン統合型ロボットで、ユニークなパーソナルデバイスです。
Cozmoの目的は何ですか？,Cozmoは、Ankiが開発した小型のパーソナリティロボットです。,Cozmoは顔認識と感情表現を使用して人々と遊びを通じてインタラクションするように設計されており、ユーザーとの絆を深めます。
NAOの設計を説明してください。,NAOは、ソフトバンクロボティクスが開発したプログラマブルヒューマノイドロボットです。,NAOは柔軟なソフトウェアプラットフォームのおかげで、教育活動、エンターテイメント、研究応用など、さまざまなタスクを実行することができます。
